verdict,confidence,name,sponsor,amount_min,amount_max,num_awards,deadline,opens,gpa_min,gpa_scale,gender,military_affiliation,employer_affiliation,income_max,renewal_years,recommendation_letters,beneficiary_scope,geo_scope,estimated_effort_minutes,need_based,merit_based,first_generation,disability,residency_required,renewable,essay_required,transcript_required,fafsa_required,counties,cities,high_schools,majors,activities,clubs_organizations,college_plan,citizenship,heritage,class_year,enrollment_status,destination_institutions,eligibility_raw,name_before_enrichment,source_url,source_org,source_county,source_file
award,0.95,HBCU Scholarship,Darrelle Revis Foundation,,,,"May 24, 2026",,3.0,4.0,,,,,,1,open,national,90,,True,,,,,True,,True,[],[],[],[],[],[],"[""Historically Black College or University""]","[""U.S. Citizen""]",[],"[""High School Senior""]","[""Accepted to a 4 year HBCU""]",[],"HBCU Scholarship Criteria &#8211; 3.0 or Higher G.P.A. &#8211; Senior in High School &#8211; Accepted to a 4 year HBCU &#8211; U.S. Citizen &#8211; Proof of Completed FAFSA &#8211; 350 Word Essay &#8211; Letter of Recommendation &#8211; Completed Application (available on website) Deadline to submit application: May 24, 2026 Darrelle Revis Foundation 2026-2027 scholarship awards high school seniors who are attending an HBCU (Historically Black College or University). Please fill out the application below to apply. Please be sure to submit all required documents. An application without all documents will be rejected. Ziskovum © 2026 Darrelle Revis Foundation All Rights Reserved Privacy Policy CONTACT US info@darrellerevisfoundation.org 954-727-8108 954-727-8426 Headquarters Location: Darrelle Revis Foundation 950 S. Pine Island Road, A-150 Plantation, Florida 33324 Pittsburgh Office Location: Darrelle Revis Foundation 322 North Shore Drive, Suite 200 Pittsburgh, PA 15212",HBCU Scholarship,https://darrellerevisfoundation.org/scholarships/,Darrelle Revis Foundation Inc - Scholarships,Broward,broward--darrelle-revis-foundation-inc-scholarships.txt
award,0.75,Nursing Scholarship,Gina Rose Montalto Memorial Foundation Inc,5000,5000,1,,,,,,,,,,,open,,,,,,,,,,,,[],[],[],"[""Nursing""]",[],[],[],[],[],[],[],[],"Scholarship Programs Scholarship Recipients Nursing Scholarship Recipients FOUNDATION, INC. SCHOLARSHIP PROGRAMS Girl Scout application is open. Other applications will be open shortly. When the process begins it will be posted on this website. Please continue to visit our website for updates. ABOUT OUR SCHOLARSHIP apply: The Foundation will be awarding scholarships to help with the cost of post-secondary education. One $5,000 scholarship will be awarded $5,000 Scholarship will be awarded awarding a $1,500 annual scholarship to one Girl Scout who achieves the Gold award awarding a scholarship to an individual attending Nova Southeastern University (2019) in periodically for more information.",Scholarship Programs Scholarship Recipients Nursing Scholarship,https://ginarosemontaltomemorialfoundation.org/scholarship-fund/,Gina Rose Montalto Memorial Foundation Inc - SCHOLARSHIP,Broward,broward--gina-rose-montalto-memorial-foundation-inc-scholarship.txt
award,0.85,Miramar-Pembroke Pines Regional Chamber of Commerce Scholarship,Miramar-Pembroke Pines Regional Chamber of Commerce,500,3000,,,,,,,,,,,,,school,,,True,,,,,,,,[],"[""Miramar"", ""Pembroke Pines""]",[],[],"[""community contributions""]",[],[],[],[],[],[],[],"The Scholarship Committee raises funds to honor and award scholarships to students who exhibit outstanding contributions to their community and school, and who demonstrate academic excellence. Award amounts range from $500 to $3,000. Beginning with the 2025-2026 school year, funds will be allocated to each school and each school will select their recipients based on criteria provided by the Foundation board. Copyright Miramar Pembroke Pines Regional Chamber of Commerce. All Rights Reserved. &#65279; 3150 SW 145 Avenue, Suite 315 | Miramar, FL 33027 Phone: (954) 432-9808 | [email&#160;protected] | sitemap",Scholarship,https://www.southbrowardfoundation.org/scholarships.html,Miramar-Pembroke Pines Regional Chamber Of Commerce Scholarship Fd - Scholarships,Broward,broward--miramar-pembroke-pines-regional-chamber-of-commerce-scholars.txt
award,0.85,USLAW NETWORK Foundation Law School Scholarship,USLAW NETWORK Foundation,,,,"November 5, 2025",,,,,,,,,,,,,True,,,,,,,,,[],[],[],[],"[""serving their communities""]",[],[],[],[],[],"[""law students""]",[],"USLAW NETWORK Foundation Law School Scholarship Program. Click here for the application. The scholarship program supports eligible law students who have financial need and a demonstrated commitment to serving their communities as they pursue their academic&hellip; Continue Reading USLAW Live! | Personal journey shapes learning and legal path with Obrian Rosario Posted November 5, 2025 law school scholarships scholarships USLAW NETWORK Foundation Scholasrhip Obrian Rosario, a 3L at Howard University and USLAW NETWORK Foundation scholarship recipient, joins USLAW Live to talk about his law school journey and career aspirations in litigation and education, inspired by his family’s experiences and early exposure to law. He reflects on the USLAW Client Conference and what he&hellip; Continue Reading USLAW Live! | Educating others while finding my legal voice with Taylor Stamps Posted October 23, 2025 annual client conference law school scholarships law students scholarships",USLAW NETWORK Foundation Law School Scholarship,https://www.uslaw.org/law-school-diversity-scholarships/,Uslaw Network Foundation - Law School Scholarships,Broward,broward--uslaw-network-foundation-law-school-scholarships.txt
award,0.85,USLAW NETWORK Foundation Law School Diversity Scholarship,USLAW NETWORK Foundation,,,10,"June 24, 2020",,,,,,,,,,open,national,,,True,,,,,,,,[],[],[],[],[],[],"[""law school""]",[],"[""diverse""]",[],"[""law school student""]",[],"USLAW NETWORK Foundation Law School Diversity Scholarship program. Scholarships will be awarded to 10 outstanding law school students from ABA-accredited law schools&hellip; Continue Reading USLAW NETWORK creates nonprofit foundation to fund scholarships for diverse law school students Posted June 24, 2020 diversity Foundation scholarships USLAW NETWORK announces the creation of the USLAW NETWORK Foundation, a 501c3 charitable organization. The USLAW NETWORK Foundation is organized exclusively for charitable and educational purposes, including the funding of scholarships to provide financial assistance to diverse law students in their pursuit of a legal education at an American Bar&hellip; Continue Reading Disclaimer Privacy Policy Accessibility Sitemap © USLAW NETWORK , Inc. 2026",USLAW NETWORK Foundation Law School Diversity Scholarship,https://www.uslaw.org/law-school-diversity-scholarships/,Uslaw Network Foundation - Law School Scholarships,Broward,broward--uslaw-network-foundation-law-school-scholarships.txt
award,0.95,iTHINK Community Foundation Scholarship,iTHINK Community Foundation,2500,2500,,,,,,,,True,,,,open,,60,,,,,,True,True,,,[],[],[],[],[],[],[],[],[],[],"[""graduating high school seniors"", ""currently enrolled college or trade school students""]",[],"Donation Go To Scholarship Applications Take Your Education One Step Further The iTHINK Community Foundation, founded by iTHINK Financial, gives credit union members the opportunity to apply for a $2,500 scholarship every year. Graduating high school seniors or currently enrolled college or trade school students can apply by writing an essay or creating a video that describes their career goals. The Winners of the 2026 i",Donation Go To Scholarship,https://ithinkfi.org/community/foundation/scholarship-program,I Think Community Foundation Inc - Scholarship Program,Palm Beach,palm-beach--i-think-community-foundation-inc-scholarship-program.txt
award,0.95,Live Your Dream Awards,Soroptimist International of the Americas,,,,November 15,August 1,,,female,,,,,,open,,150,,,,,,,True,,,[],[],[],[],[],[],[],[],[],[],[],[],"The Live Your Dream Awards are all about helping women who have faced obstacles on the path to living their dreams. Since 1972, the award has provided tens of thousands of women with cash grants to help them achieve their educational and career goals. In 750 words or less, tell us how you think this could help you live your dream. Mark your calendar: The Application Portal is open August 1 - November 15 each year. LIVE YOUR DREAM AWARDS Click here to learn more... Soroptimist International: Extraordinary Stories Click here for Soroptimist International Extraordinary Stories https://www.soroptimist.org/extraordinary-stories/index.html Top Home 2026 Nomination Form - 2026 2018 Nominees 2017 Nominees 2016 Nominees 2015 Nominees 2014 Nominees 2013 Nominees 2012 Nominees 2011 Nominees 2009 Nominees 2008 Nominees 2007",Live Your Dream Awards,https://www.soroptimist4women.org/p/9/live-your-dream-scholarship-program,Soroptimist International Of The Americas Inc - Live Your Dream Scholarship Program,Palm Beach,palm-beach--soroptimist-international-of-the-americas-inc-live-your-drea.txt
award,0.95,One-Time Educational Scholarships,Wellington Community Foundation Inc,1500,1500,,"April 24, 2026","January 01, 2026",,,,,,,,2,open,city,120,,True,,,True,,True,True,,[],"[""Wellington, Florida""]",[],[],[],[],[],[],[],"[""senior in high school""]",[],[],"One-Time Educational Scholarships in the amount of $1,500 Criteria • Applicant is currently a senior in high school • Applicant lives in Wellington, Florida OR the applicant attends school in Wellington, Florida Requirements 1. Two letters of recommendations, preferably from recent core-subject teachers. 2. High School transcript (with verification of community services hours, if applicable). 3. transcript. 4. Signed Application, completed in its entirety. 5. Responses to short essay questions. Ranking Criteria (Total Possible Points 100) • 25% Academic Achievement • 25% Public/Community Service • 20% Leadership • 10% Extra Curricular/Work Involvement • 10% Overcoming Adversity • 10% Overall Application *PLEASE NOTE: SCHOLARSHIP RECIPIENT MUST ATTEND AWARD PRESENTATION IN MAY 2026, IN WELLINGTON. APPLICATION SUBMIISSION DATES Application submission is open from January 01, 2026 - April 24, 2026* deadline DEADLINE *Application must be mailed and post-marked and received by April 24, 2026. Copyright @Wellington Community Foundation 2025 DESIGNED AND MANAGED BY WELLINGTON.MEDIA",One-Time Educational Scholarships,https://wellingtoncommunityfoundation.org/aka-scholarship,Wellington Community Foundation Inc - AKA Scholarship,Palm Beach,palm-beach--wellington-community-foundation-inc-aka-scholarship.txt
award,0.95,Hidden Figgers Scholarships,Figgers Foundation,500,2000,15,,,2.4,4.0,,,,,,,open,state,90,True,True,,,True,,True,,,[],[],[],[],"[""community service"", ""extracurricular activities""]",[],"[""college"", ""university"", ""career & technical education program""]","[""US citizen"", ""national"", ""permanent resident""]",[],"[""high school senior""]",[],[],"Hidden Figgers Scholarships (HFS) are highly selective, scholarship for outstanding Florida high school seniors from low-income households. Each year, the scholarship is awarded to 15-20 of these student leaders, with the intent of helping them realize their maximum potential. click to see past recipients Award Scholars will receive a $500 – $2,000 scholarship to be used specifically towards tuition at a college, university or career &amp; technical education program. *Costs can include, tuition, fees, room, board, books, and transportation, and may include other personal costs. Basic Eligibility To apply, student must Be a high school senior in the State of Florida. Be a US citizen, national, or permanent resident. Be in good academic standing with a minimum cumulative weighted GPA of 2.4 on a 4.0 scale (or equivalent) Submit a typed 1-2 page essay explaining need for scholarship Ideal Candidate An ideal candidate will have: A good academic record in high school Demonstrated leadership ability (e.g., as shown through participation in community service, extracurricular, or other activities) Exceptional personal success skills (e.g., emotional maturity, motivation, perseverance, etc.)",Hidden Figgers Scholarships,https://figgersfoundation.org/Scholarships,Figgers Foundation - The Hidden Figgers Scholarships,Broward,broward--figgers-foundation-the-hidden-figgers-scholarships.txt
award,0.85,Elevate Prize Catalyst Award,Elevate Prize Foundation Inc,1000,1000,,"Jul 16, 2026",,,,female,,,,,,open,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],"Elevate Prize Catalyst Award &#8211; SEE ALL Jul 16, 2026 This program gives Black single moms $1,000 &#8211; @elevateprize 276 NW 27th Street, Miami, FL 33127 Award |",Elevate Prize Catalyst Award,https://www.elevateprize.org/the-elevate-prize-catalyst-award/,Elevate Prize Foundation Inc - THE ELEVATE PRIZE CATALYST AWARD,Miami-Dade,miami-dade--elevate-prize-foundation-inc-the-elevate-prize-catalyst-awar.txt
